appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
South-East,South-East,Court_order_violation,,3,0,0,1,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,Death,0,0,0,2,0,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,,0,0,0,3,3,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-East,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Others,,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Dispute,,2,0,0,2,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,,3,0,0,2,0,0,0,0,0,Granted
South-South,South-South,Dispute,Prison_term_fine,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Law_of_tort,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Armed_robbery,,1,0,0,1,0,0,2,0,2,Dismissed
South-East,South-East,Theft,,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Conspiracy,Prison_term,0,0,0,6,0,0,7,0,0,Granted
South-South,,Murder_manslaughter,Death,2,0,2,7,0,0,2,8,0,Dismissed
South-South,,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,Payment_damages,0,0,0,0,0,0,0,0,0,Granted
South-South,,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-East,,Dispute,,2,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Dispute,,2,0,0,0,0,0,0,0,0,Dismissed
South-East,,Dispute,,2,0,0,0,0,0,0,0,0,Granted
South-South,South-East,Dispute,,3,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,1,0,4,0,0,0,0,0,Dismissed
South-East,South-East,Court_order_violation,,4,0,0,1,0,0,0,0,0,Dismissed
South-West,South-East,Human_rights_violation,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,,1,0,0,1,1,0,0,0,0,Dismissed
North-East,,Others,,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Election_petition,,3,0,0,1,0,0,0,0,0,Granted
South-East,,Court_order_violation,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,,2,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-East,South-South,Law_of_tort,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Theft,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Others,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
North-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Civil_petition,,0,0,0,3,0,0,0,0,0,Dismissed
South-West,,Dispute,,4,0,0,9,0,0,0,0,0,Dismissed
South-East,,Unlawful_termination_appointment,Others,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,1,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Election_petition,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Conspiracy,Prison_term,0,0,0,2,0,0,0,0,0,Granted
South-East,,Murder_manslaughter,,0,0,0,6,0,0,0,0,0,Dismissed
North-West,,Armed_robbery,Death,0,0,0,3,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-East,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,,3,0,0,0,0,0,0,0,0,Granted
South-East,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,5,0,0,Granted
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,5,0,0,0,0,0,Dismissed
South-East,,Civil_petition,,2,2,0,1,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Prison_term,0,0,0,5,0,0,0,0,0,Dismissed
South-West,,Civil_petition,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,,3,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-East,,Murder_manslaughter,,0,0,0,7,0,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,2,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Death,0,0,0,1,0,1,0,0,0,Granted
South-South,South-South,Civil_petition,,2,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Others,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,5,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,14,0,1,Dismissed
South-West,South-West,Dispute,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Prison_term,0,0,0,1,0,0,0,0,0,Granted
South-South,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Granted
FCT,North-Central,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Theft,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-South,,Armed_robbery,Death,1,0,1,1,1,0,0,0,0,Dismissed
South-South,South-South,Human_rights_violation,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
FCT,,Civil_petition,,2,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Trespassing,,1,0,0,1,0,0,0,1,4,Granted
South-South,,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,,Unlawful_possession,Prison_term,1,0,0,0,0,0,0,0,0,Granted
South-South,,Civil_petition,,9,0,0,1,0,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,,1,0,0,3,0,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-East,Dispute,Death,0,0,0,2,0,0,7,0,3,Dismissed
South-South,South-South,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Theft,,1,0,0,1,0,0,0,0,0,Granted
South-East,South-East,Civil_petition,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,2,2,0,0,0,0,Dismissed
South-South,,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-South,,Civil_petition,,1,1,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-East,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Armed_robbery,,0,0,0,2,0,0,0,0,0,Granted
South-South,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Prison_term,1,0,0,1,1,0,4,0,0,Dismissed
North-West,,Dispute,,1,0,1,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,3,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Prison_term,1,0,1,1,1,0,0,0,0,Dismissed
South-West,,Human_rights_violation,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Prison_term,0,0,0,8,0,0,12,0,0,Dismissed
South-West,South-West,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Dispute,Death,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,,0,0,0,1,1,0,7,0,0,Dismissed
South-South,,Dispute,Death,1,0,0,1,1,0,4,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Granted
FCT,,Dispute,,0,0,0,5,0,0,0,0,0,Dismissed
South-South,South-South,Others,,1,0,0,1,0,0,0,0,0,Granted
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,Death,0,0,0,10,0,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,3,0,0,0,1,0,Dismissed
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Others,,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,,0,0,0,4,0,0,0,0,0,Granted
South-South,South-South,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,0,0,0,1,0,1,1,0,0,Dismissed
North-West,North-West,Dispute,Prison_term,0,0,0,1,1,0,5,0,0,Dismissed
South-West,South-West,Others,,1,0,0,2,0,0,0,0,0,Granted
South-East,,Dispute,,1,0,0,2,0,0,0,0,0,Granted
South-East,,Others,,3,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,2,2,0,4,0,0,Dismissed
South-South,,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Death,0,0,0,4,0,0,2,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Theft,,1,0,1,1,0,0,0,0,0,Granted
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,South-West,Dispute,,1,0,0,3,0,0,0,0,0,Granted
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,1,0,2,0,0,Dismissed
South-East,,Human_rights_violation,,1,0,0,1,0,0,0,0,0,Dismissed
FCT,,Law_of_tort,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,1,0,0,0,Granted
South-East,South-East,Dispute,,3,0,0,1,0,0,0,0,0,Granted
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Murder_manslaughter,,0,0,0,3,0,0,7,0,2,Dismissed
South-East,,Election_petition,,3,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,,1,0,1,2,0,0,1,0,0,Dismissed
South-South,South-South,Theft,,1,0,0,2,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,1,1,0,6,0,0,Dismissed
South-West,South-West,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-East,,Others,,1,0,0,0,0,0,0,0,0,Dismissed
South-East,,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,14,0,0,5,0,0,Dismissed
North-Central,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Armed_robbery,Death,2,1,1,0,0,0,10,0,0,Granted
FCT,North-Central,Dispute,Death,0,0,0,8,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,,1,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Fraud_impersonation,,0,0,0,2,2,0,7,0,0,Granted
South-East,South-East,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Law_of_tort,,0,0,0,1,1,1,2,0,0,Dismissed
South-South,South-South,Trespassing,Fine,0,0,0,1,1,0,0,0,0,Granted
South-East,South-East,Trespassing,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Trespassing,Fine,1,1,0,1,0,0,0,0,0,Granted
South-South,South-East,Trespassing,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Election_petition,,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Unlawful_possession,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Conspiracy,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Dispute,,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,1,0,1,1,0,7,7,1,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,1,1,0,1,1,0,3,0,0,Granted
South-West,South-West,Law_of_tort,Fine,0,0,0,1,1,0,1,0,0,Dismissed
South-South,South-South,Court_order_violation,Prison_term,1,1,0,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,3,0,1,Dismissed
South-East,South-East,Trespassing,Appeal_dismissed,0,0,0,1,1,0,4,0,0,Dismissed
South-South,South-South,Trespassing,Fine,0,0,0,10,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Appeal_dismissed,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Prison_term,0,0,0,1,0,0,2,1,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Curroption_abuse_office,,1,1,0,1,1,0,0,0,0,Dismissed
South-South,,Trespassing,Appeal_dismissed,1,1,0,1,0,0,0,0,0,Dismissed
South-South,,Armed_robbery,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Trespassing,Appeal_granted,1,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Others,Appeal_dismissed,0,0,0,1,0,0,0,0,0,Granted
North-Central,North-Central,Law_of_tort,Others,1,0,1,1,1,0,0,0,0,Granted
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,1,0,0,2,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,1,0,2,2,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Fine,1,0,1,1,1,0,2,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,0,0,2,0,0,0,0,0,Granted
South-West,,Dispute,Payment_damages,1,1,0,1,0,1,3,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,7,0,1,Granted
FCT,FCT,Curroption_abuse_office,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Conspiracy,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,1,1,0,1,1,0,0,0,0,Dismissed
South-West,,Claim_for_recovery,Payment_damages,0,0,0,1,1,0,2,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Fine,1,1,0,1,1,0,4,0,0,Dismissed
South-West,South-West,Conspiracy,Death,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Dispute,Appeal_dismissed,0,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Curroption_abuse_office,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,1,0,0,1,0,0,0,0,0,Granted
South-West,,Unlawful_possession,,1,0,0,1,1,0,2,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,1,0,1,1,0,0,0,0,Dismissed
South-South,South-West,Human_rights_violation,Fine,0,0,0,1,1,0,4,0,0,Dismissed
South-West,,Law_of_tort,Payment_damages,1,0,0,1,1,0,0,0,0,Granted
FCT,,Libel,Fine,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Fine,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,Fine,1,1,0,1,0,0,0,0,0,Granted
North-West,North-West,Trespassing,Payment_damages,1,0,0,23,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,1,0,1,1,0,0,0,0,Granted
North-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,,Unlawful_termination_appointment,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Theft,Payment_damages,5,0,0,5,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,Death,1,0,0,0,1,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,2,1,1,Dismissed
South-West,,Theft,Others,1,0,0,1,0,0,2,0,0,Dismissed
South-South,,Trespassing,Payment_damages,0,0,0,0,0,1,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Payment_damages,1,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,,1,1,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Unlawful_possession,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Trespassing,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Unlawful_termination_appointment,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Trespassing,,0,0,0,18,0,0,2,0,0,Dismissed
North-West,,Human_rights_violation,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Trespassing,Fine,1,0,0,1,1,0,6,0,1,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,,2,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Others,Prison_term,0,0,0,1,0,0,3,0,0,Granted
South-West,South-West,Unlawful_termination_appointment,,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,Fine,6,0,0,0,1,0,0,0,0,Dismissed
South-West,South-West,Unlawful_termination_appointment,Payment_damages,5,0,0,5,0,0,0,0,0,Granted
South-South,,Trespassing,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,,Trespassing,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Payment_damages,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,North-Central,Theft,Prison_term,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Prison_term,0,0,0,0,0,0,0,0,0,Granted
South-East,South-East,Trespassing,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Trespassing,,1,0,0,1,1,0,4,0,0,Dismissed
South-East,South-East,Election_petition,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,,Murder_manslaughter,Death,1,1,0,1,1,0,3,0,0,Dismissed
North-West,South-West,Others,Prison_term,0,0,0,4,0,0,0,0,0,Granted
South-West,South-West,Others,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,2,0,0,Granted
South-East,South-East,Trespassing,Fine,3,3,0,1,1,0,0,0,0,Granted
South-East,South-East,Trespassing,Fine,1,0,0,0,0,0,0,0,0,Dismissed
South-South,,Others,Fine,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Law_of_tort,Fine,1,0,1,1,0,0,0,0,0,Dismissed
South-East,South-East,Trespassing,Fine,1,0,0,1,0,0,5,0,2,Dismissed
South-South,South-South,Damage_property,,1,1,0,1,1,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Trespassing,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Rape_sexual_abuse,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-South,South-East,Libel,,0,0,0,1,0,0,0,0,0,Dismissed
South-South,,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,3,3,0,1,1,0,0,0,0,Dismissed
North-Central,,Fraud_impersonation,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,2,0,0,0,0,0,0,0,0,Granted
South-South,South-East,Trespassing,Fine,0,0,0,1,1,0,0,2,0,Granted
South-South,South-East,Trespassing,Fine,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Unlawful_possession,Fine,0,0,0,1,1,0,4,0,0,Dismissed
South-East,,Election_petition,,0,0,0,1,1,0,1,0,0,Dismissed
South-South,South-South,Curroption_abuse_office,,0,0,0,0,0,0,6,0,0,Granted
South-South,,Trespassing,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Others,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Armed_robbery,Death,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Damage_property,Prison_term,0,0,0,2,2,0,0,0,0,Granted
North-West,,Law_of_tort,,0,0,0,3,3,0,0,0,0,Granted
South-West,South-West,Trespassing,Fine,1,1,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Unlawful_termination_appointment,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Election_petition,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Fraud_impersonation,Prison_term,1,0,0,1,0,0,5,0,0,Dismissed
South-South,,Libel,,0,0,0,4,4,0,9,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Prison_term,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Trespassing,Fine,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Trespassing,Payment_damages,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Claim_for_recovery,,1,0,1,1,1,0,0,0,0,Dismissed
South-South,South-South,Fraud_impersonation,Prison_term,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Trespassing,Fine,0,0,0,1,1,0,4,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-West,South-West,Trespassing,,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Theft,Prison_term,1,1,0,1,1,0,2,0,2,Granted
South-South,South-South,Election_petition,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-West,Trespassing,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Unlawful_possession,Fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Trespassing,Fine,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,0,0,0,0,0,0,Granted
South-West,,Unlawful_termination_appointment,Fine,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Prison_term,0,0,0,1,0,0,0,0,0,Granted
North-West,South-West,Others,Fine,1,1,0,10,0,0,0,0,0,Granted
South-West,South-West,Armed_robbery,Prison_term,1,1,0,1,1,0,0,0,0,Granted
North-West,North-West,Trespassing,Fine,0,0,0,2,0,0,0,0,0,Dismissed
South-East,South-East,Unlawful_possession,,1,0,0,1,0,0,7,0,0,Dismissed
South-South,South-South,Human_rights_violation,Others,0,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Trespassing,,1,0,1,1,1,0,2,0,0,Dismissed
South-South,South-South,Trespassing,,0,0,0,0,0,0,0,0,0,Granted
